# Machine-readable version of Table 8 in Douglas et al. 2014 ApJ 795 161
# Chi and synthetic photometry calculated from PHOENIX-ACES synthetic spectra (Husser et al. 2013)
# Approximate spectral types from Kraus & Hillenbrand (2008)
# Teff	g-r	r-i	i-z	z-J	J-H	H-K	r'-J	r'-K	log10(chi)
5200	K0.3	0.660	0.192	0.069	0.935	0.491	0.025	1.183	1.699	9.170
5100	K0.9	0.704	0.207	0.082	0.954	0.513	0.029	1.229	1.771	9.633
5000	K1.4	0.751	0.223	0.094	0.974	0.536	0.033	1.277	1.847	9.592
4900	K2.0	0.800	0.241	0.108	0.995	0.562	0.038	1.328	1.928	9.421
4800	K2.6	0.852	0.260	0.122	1.018	0.591	0.043	1.384	2.018	9.292
4700	K3.3	0.911	0.281	0.137	1.042	0.619	0.050	1.443	2.112	9.209
4600	K3.9	0.974	0.305	0.154	1.065	0.645	0.057	1.507	2.210	9.142
4500	K4.4	1.037	0.333	0.174	1.086	0.668	0.066	1.575	2.309	9.087
4400	K4.8	1.096	0.366	0.196	1.104	0.684	0.077	1.647	2.408	8.673
4300	K5.3	1.153	0.403	0.222	1.122	0.695	0.089	1.726	2.510	8.211
4200	K6.0	1.205	0.442	0.250	1.138	0.698	0.105	1.807	2.610	7.645
4100	K6.7	1.249	0.484	0.278	1.155	0.696	0.122	1.894	2.711	7.156
4000	K7.9	1.287	0.533	0.312	1.174	0.689	0.140	1.994	2.823	6.836
3900	K9.3	1.318	0.589	0.351	1.197	0.682	0.156	2.110	2.948	6.533
3800	M0.3	1.343	0.654	0.393	1.224	0.677	0.170	2.241	3.088	6.211
3700	M0.9	1.361	0.732	0.442	1.255	0.672	0.180	2.397	3.248	5.867
3600	M1.5	1.376	0.820	0.494	1.290	0.667	0.187	2.568	3.422	5.502
3500	M2.1	1.391	0.916	0.548	1.329	0.662	0.194	2.754	3.610	5.026
3400	M2.7	1.408	1.021	0.604	1.375	0.657	0.200	2.957	3.814	4.483
3300	M3.3	1.430	1.134	0.663	1.427	0.653	0.208	3.177	4.039	3.918
3200	M3.9	1.453	1.264	0.727	1.489	0.651	0.218	3.430	4.298	3.331
3100	M4.5	1.474	1.419	0.799	1.562	0.652	0.227	3.724	4.603	2.716
3000	M5.1	1.485	1.603	0.882	1.643	0.656	0.235	4.065	4.957	2.183
2900	M5.6	1.494	1.817	0.974	1.746	0.659	0.243	4.466	5.368	1.703
2800	M6.3	1.489	2.068	1.078	1.866	0.663	0.248	4.933	5.844	1.252
2700	M7.2	1.480	2.346	1.189	1.999	0.668	0.252	5.445	6.365	0.886
2600	M8.0	1.566	2.539	1.294	2.142	0.675	0.257	5.879	6.811	0.618
2500	M8.5	1.757	2.623	1.371	2.269	0.682	0.257	6.164	7.103	0.472
